hospital_id,hospital_name,disease,diseaseId,date_reported,daily_cases,humidity,temperature,outbreak
1,AIIMS Delhi,Malaria,2,2023-01-01,20,95.19377489,33.13178929,1
1,AIIMS Delhi,Malaria,2,2023-01-02,2,77.04164657,26.88682773,0
1,AIIMS Delhi,Malaria,2,2023-01-03,25,74.72769853,32.35194971,1
1,AIIMS Delhi,Malaria,2,2023-01-04,1,98.80582907,36.74622349,0
1,AIIMS Delhi,Malaria,2,2023-01-05,2,74.51361576,37.82978868,0
1,AIIMS Delhi,Malaria,2,2023-01-06,0,95.19184742,33.54504464,0
1,AIIMS Delhi,Malaria,2,2023-01-07,2,63.71097468,39.13970704,0
1,AIIMS Delhi,Malaria,2,2023-01-08,3,69.26189142,34.38903588,0
1,AIIMS Delhi,Malaria,2,2023-01-09,2,86.47901212,29.46001393,0
1,AIIMS Delhi,Malaria,2,2023-01-10,0,96.45761588,32.80407815,0
1,AIIMS Delhi,Malaria,2,2023-01-11,0,83.89031058,27.38821852,0
1,AIIMS Delhi,Malaria,2,2023-01-12,20,78.71761575,36.71399417,1
1,AIIMS Delhi,Malaria,2,2023-01-13,0,97.05692849,27.50645819,0
1,AIIMS Delhi,Malaria,2,2023-01-14,25,81.77081713,28.67188064,1
1,AIIMS Delhi,Malaria,2,2023-01-15,25,61.04531038,35.36685764,1
1,AIIMS Delhi,Malaria,2,2023-01-16,0,78.38487301,33.15737244,0
1,AIIMS Delhi,Malaria,2,2023-01-17,20,70.66269029,35.63243116,1
1,AIIMS Delhi,Malaria,2,2023-01-18,3,73.32666569,26.41508093,0
1,AIIMS Delhi,Malaria,2,2023-01-19,1,84.91185225,28.26802919,0
1,AIIMS Delhi,Malaria,2,2023-01-20,25,60.24804989,37.29017115,1
1,AIIMS Delhi,Malaria,2,2023-01-21,3,81.77946885,33.7784682,0
1,AIIMS Delhi,Malaria,2,2023-01-22,0,65.16813046,33.42019824,0
1,AIIMS Delhi,Malaria,2,2023-01-23,3,90.90692514,33.75409896,0
1,AIIMS Delhi,Malaria,2,2023-01-24,2,76.18470588,31.00401692,0
1,AIIMS Delhi,Malaria,2,2023-01-25,2,61.03731002,32.37164833,0
1,AIIMS Delhi,Malaria,2,2023-01-26,1,81.67405418,26.8260546,0
1,AIIMS Delhi,Malaria,2,2023-01-27,20,64.08754875,33.82676832,1
1,AIIMS Delhi,Malaria,2,2023-01-28,25,97.13612752,38.41523227,1
1,AIIMS Delhi,Malaria,2,2023-01-29,20,74.26925523,39.59524186,1
1,AIIMS Delhi,Malaria,2,2023-01-30,2,64.10856775,37.98731002,0
1,AIIMS Delhi,Malaria,2,2023-01-31,2,91.53726495,33.63835695,0
1,AIIMS Delhi,Malaria,2,2023-02-01,3,94.48999873,37.20955362,0
1,AIIMS Delhi,Malaria,2,2023-02-02,1,85.54574934,34.39617994,0
1,AIIMS Delhi,Malaria,2,2023-02-03,20,73.15183929,32.84004951,1
1,AIIMS Delhi,Malaria,2,2023-02-04,0,61.93279601,27.31989155,0
1,AIIMS Delhi,Malaria,2,2023-02-05,1,79.79676042,25.02258089,0
1,AIIMS Delhi,Malaria,2,2023-02-06,25,76.56942792,28.1207252,1
1,AIIMS Delhi,Malaria,2,2023-02-07,0,62.93984381,26.85617906,0
1,AIIMS Delhi,Malaria,2,2023-02-08,3,97.29748242,39.97340894,0
1,AIIMS Delhi,Malaria,2,2023-02-09,3,80.77998394,30.95707666,0
1,AIIMS Delhi,Malaria,2,2023-02-10,25,86.70490262,35.56886613,1
1,AIIMS Delhi,Malaria,2,2023-02-11,1,96.60378034,30.86341695,0
1,AIIMS Delhi,Malaria,2,2023-02-12,3,79.17507955,25.46809056,0
1,AIIMS Delhi,Malaria,2,2023-02-13,0,66.80845061,39.51916127,0
1,AIIMS Delhi,Malaria,2,2023-02-14,0,83.73689241,29.02300185,0
1,AIIMS Delhi,Malaria,2,2023-02-15,0,95.83559555,27.25808285,0
1,AIIMS Delhi,Malaria,2,2023-02-16,20,95.11451242,25.26832394,1
1,AIIMS Delhi,Malaria,2,2023-02-17,0,96.72725567,27.41203334,0
1,AIIMS Delhi,Malaria,2,2023-02-18,0,77.81263812,30.2799082,0
1,AIIMS Delhi,Malaria,2,2023-02-19,25,82.72410526,31.36839272,1
1,AIIMS Delhi,Malaria,2,2023-02-20,0,62.00936424,39.49847384,0
1,AIIMS Delhi,Malaria,2,2023-02-21,25,63.11077351,25.21582218,1
1,AIIMS Delhi,Malaria,2,2023-02-22,3,93.8063722,29.43099558,0
1,AIIMS Delhi,Malaria,2,2023-02-23,20,99.06023361,29.7976187,1
1,AIIMS Delhi,Malaria,2,2023-02-24,0,88.46241123,29.45270947,0
1,AIIMS Delhi,Malaria,2,2023-02-25,20,65.5296152,28.94520581,1
1,AIIMS Delhi,Malaria,2,2023-02-26,2,84.61048692,28.65629957,0
1,AIIMS Delhi,Malaria,2,2023-02-27,25,66.66821794,28.81056856,1
1,AIIMS Delhi,Malaria,2,2023-02-28,1,69.29582058,25.09176521,0
1,AIIMS Delhi,Malaria,2,2023-03-01,1,92.120251,28.05312619,0
1,AIIMS Delhi,Malaria,2,2023-03-02,3,72.84009852,29.24788717,0
1,AIIMS Delhi,Malaria,2,2023-03-03,2,77.45478437,36.7241175,0
1,AIIMS Delhi,Malaria,2,2023-03-04,0,75.84268735,32.76661383,0
1,AIIMS Delhi,Malaria,2,2023-03-05,1,60.67217668,35.93122148,0
1,AIIMS Delhi,Malaria,2,2023-03-06,0,88.52785488,27.04659771,0
1,AIIMS Delhi,Malaria,2,2023-03-07,1,62.99431532,26.27087141,0
1,AIIMS Delhi,Malaria,2,2023-03-08,2,70.55116327,33.089703,0
1,AIIMS Delhi,Malaria,2,2023-03-09,1,78.41767983,25.76153132,0
1,AIIMS Delhi,Malaria,2,2023-03-10,1,83.13409489,38.91968744,0
1,AIIMS Delhi,Malaria,2,2023-03-11,0,71.54693287,26.32713459,0
